Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Total,,,,2417175,6058.743,2077,1567583,4.3
d9IXHaFVZXQ,El final JAJAJA😭😂Si va a fallar… que al menos esté oliendo bien 😌,"Feb 18, 2026",17,1807809,4537.7607,1006,46935,5.51
HllWtkIKZOE,"ES HOY ES HOY, PARAGUAY FIU FIII ❤️🤍💙","Jun 10, 2025",11,165811,278.6737,526,601050,3.63
G--iELM8KRI,Quando o marketing vai gravar 🤣 #trendingshorts #viralvideos #paraguai,"Apr 16, 2025",19,42526,125.2451,83,730,4.38
Tks9Y3tAfb8,27 de febrero de 2026,"Feb 27, 2026",8,25850,38.7849,10,475,3.58
60VdQnFPqdQ,🚗🔥 ¿Buscás el mejor parlante para tu auto?,"Apr 30, 2025",36,23892,97.9968,18,116565,5.74
yfmNYMt0nUw,Si Neymar Usa Aiwa,"Mar 10, 2025",26,10571,38.601,7,76035,4.44
X0ebFAxGmNo,Xiaomi Pad 7 🤩 La tablet que lo tiene TODO 💥📲,"Mar 28, 2025",50,10545,62.5091,13,93668,3.82
9CkTK3MVbWw,Lanzamiento Xiaomi Redmi A5,"Mar 28, 2025",37,9631,47.2288,21,67270,3.68
O1YjWBV87zc,Tablets por menos de 1.000.000 Gs,"Mar 24, 2025",29,7172,26.1318,39,30727,8.19
pGrwvmJZhLY,21 de marzo de 2026,"Mar 21, 2026",6,5752,5.8999,2,764,1.44
jnzC0x0U53w,Xiaomi 17 Pro Max,"Oct 29, 2025",64,5476,41.0392,48,26188,9.34
uJxOF7JzgE4,Teléfono itel A90,"Jul 11, 2025",42,5230,25.9695,20,25267,7.81
r_1Jb0ctx7c,Dicen que el Día de los Niños es un día mágico ✨,"Aug 13, 2025",30,4856,16.0434,14,1146,0.87
MNk4oVQgJZg,Vale a pena comprar Garmin no Paraguai? 🤔,"Sep 4, 2025",43,4292,24.4378,42,21439,7.72
DzxD2Kei3qg,🎨 ¿LA MEJOR TABLET PARA NIÑOS? Ideal para jugar y aprender 🧸📱,"Apr 4, 2025",23,4290,18.5113,17,31945,5.9
Qm5YYNWVZTU,📱 El celular más económico de Xiaomi 😱¡El nuevo Redmi A5 ya está disponible en Mega Electrónicos! 🔥,"Jun 18, 2025",30,3861,13.683,8,19987,2.79
Js0-VQe_CG4,19 de febrero de 2026,"Feb 19, 2026",38,3785,14.9881,6,694,2.74
c1Y1K_PsMdM,¿Cómo hacerme feliz? 🤣,"Dec 19, 2025",14,3447,7.3083,2,599,0.33
Spc9AgZSVVY,¡🔊 Potencia que anima cualquier fiesta!,"May 26, 2025",38,3352,12.7813,2,22735,4.62
jCSMUhq5sZc,🇵🇾⚽ ¡Esta semana vibra Paraguay con la Albirroja!,"Sep 1, 2025",34,3327,11.609,11,13239,6.17
XAx1y6iylhA,Unboxing del DOOGEE Blade10 Pro Energy 🚀,"Oct 15, 2025",39,3054,14.439,4,16526,7.04
RFAHojxGmcM,✨📺 ¡Nuevo lanzamiento Audisat! 📺✨,"Oct 2, 2025",39,2978,15.8535,7,16622,7.86
rTSwpNV-38o,Galaxy s26: Filtraciones y otros lanzamientos,"Feb 23, 2026",62,2908,16.105,1,862,2.55
j6pR1426UKQ,📱 El celular más económico de Xiaomi 😱,"Jun 14, 2025",30,2664,5.4038,2,15054,1.87
ZjvccNk0ymk,📱💥 ¡Un pequeño gigante que sorprende!Te presentamos el Realme C75,"Jun 30, 2025",43,2627,7.9984,5,5892,4.18
YuNRD5CYoUk,"🙃 Al parecer, el estrés éramos nosotros","Apr 25, 2025",6,2342,2.1749,0,432,0.69
JgswQ9HVsv0,🇦🇷 vs 🇵🇾 Otro capítulo de... ¡precios comparativos! 📉🔥¿Seguís pagando de más en Argentina?,"May 24, 2025",40,2335,8.8484,4,4887,8.08
EoriV4UYVyQ,Celulares por Menos de un Millón de Guaraníes! 📱,"Mar 17, 2025",28,2144,9.1305,8,10115,6.35
TMoTgu5mStE,No compres ningún auricular antes de ver este: Mibro Open-Ear Pro,"Dec 16, 2025",30,2132,3.3465,1,944,6.04
4Yv5mbV7h1o,Nuevo IPhone Air,"Sep 21, 2025",24,2021,3.9376,1,367,0.82
Lm3WmjVY1c8,💻📱🎶 ¡Precios comparativos que te van a romper la cabeza! Argentina 🇦🇷 vs Paraguay 🇵🇾,"Jun 26, 2025",40,1936,7.7027,7,6842,5.67
nqu5wrnbjOc,"Mi Cuchi Cuchi, Part 2","Feb 11, 2026",56,1934,3.3459,0,790,1.39
XyJeG-OI-HE,✨ El reloj más lindo de Mibro llegó para quedarse ✨,"Jul 30, 2025",25,1913,6.5418,3,8585,6.66
iy1HgKP-rvM,#Vencer o Morir 🔥🔥,"Sep 10, 2025",33,1900,3.1765,2,894,6.6
FPUHPwH4rnk,🎉 SAVE THE DATE – Porque el trabajo en equipo también merece ser celebrado 🥳🎉,"May 23, 2025",8,1891,2.0761,0,569,0.35
vfrE1pDvnXc,"Celulares por menos de R$1000,00","Aug 31, 2025",32,1888,2.864,3,704,2.84
VwMHsWw7E_Q,¿Ya conocés Celimax? 👀✨,"Apr 4, 2026",79,1881,2.448,2,290,3.79
Si0sBA_Jv6Y,Vos ya prometiste algo si la Albirroja gana esta noche?👀,"Sep 4, 2025",50,1879,7.2465,5,4609,5.51
BCY3NH5SBi8,"⌚ ¿Un reloj que aguanta hasta 10 días encendido?Sí, existe…","Feb 16, 2026",30,1865,3.3771,2,1421,2.67
c0c3KiJ4STk,"🖥️ ¿Buscás un monitor ideal para trabajar, estudiar o jugar? ¡Xiaomi tiene el perfecto para vos!","May 29, 2025",63,1865,4.5697,2,7771,3.17
FQS0yWN-Jts,🚨 ¿El celular con la batería más duradera del mercado? ¡Ya está aquí!🔥,"Aug 7, 2025",32,1792,3.0778,1,1474,2.78
7UittC1W74o,Blackview Active 12 Pro 5G en Mega Electrónicos.,"Jan 30, 2026",48,1739,7.4281,4,1972,7.45
d_GpLd4vDSE,⚽️ El parlante preferido por nuestro futbolista estrella… ¡y el que enciende cualquier fiesta! 🔊,"Jul 15, 2025",41,1731,7.6644,0,11457,1.82
nhQ493lEdR0,Lanzamiento Realme 14 pro +,"May 15, 2025",49,1725,3.4967,0,212,0.94
OCzYO2RUu-E,📺✨ ¿Querés tu nueva TV y te preocupa cómo llevarla?¡Tenemos la solución! 🚚💨,"Sep 9, 2025",38,1704,2.5081,0,1650,2.91
IMUdNx8jeW8,🚨 No compres ninguna tablet antes de ver estos lanzamientos 👇,"Oct 21, 2025",53,1690,6.3982,4,4022,7.76
JnHpGgKNkvI,Xiaomi 17 ultra,"Oct 9, 2025",41,1681,4.7365,2,1077,3.06
KYR2xkPcZ54,Mongaru 🤌🏻😂 #meme #paraguay,"Jan 6, 2026",50,1659,5.2342,4,589,6.79
scrk07RGs8Q,Crema mejor amiga de las chicas,"Dec 28, 2025",23,1620,2.1804,1,378,0
m89FqsTS_pg,¿Se enteraron? 🤯,"Dec 11, 2025",43,1607,3.2248,4,578,1.9
nMhVOcctIjU,5 de marzo de 2026,"Mar 5, 2026",26,1606,3.3557,2,502,1.79
LA_FlRsji1I,🔥 ¿Vale la pena el nuevo aspirador de Xiaomi? 👀🧹,"Oct 20, 2025",41,1598,6.2798,0,7009,5.95
ZuW8kN7wTEc,"Aire acondicionado 12.000 BTU Audisat AC12, el más económico del mercado.","Sep 27, 2025",35,1583,5.3236,2,5635,7.29
Daz4xc7xqwA,"🔒 Cerrado, funciona como un celular tradicional, abierto , se transforma casi en una tablet.","Dec 27, 2025",77,1568,4.4424,2,879,1.25
GzuH-v_9G1E,✨ El celular perfecto para un arquitecto 📐,"Feb 17, 2026",34,1549,4.1939,3,1237,1.21
NXTLMR_zzto,✨ ¡Consejo rápido para elegir el producto ideal para tu piel!,"Dec 2, 2025",23,1548,2.0649,2,443,1.13
E1UHUheNuOM,"✨ Comunicación profesional, sin cables y sin límites","Mar 20, 2026",52,1546,1.9893,2,623,1.28
ADGel7VF-fE,20 de batería en un Reloj? Mibro Gs Explorer,"Dec 17, 2025",39,1539,5.3018,3,1048,5.82
BDTSL3ou-Hs,Es difícil tener tanto éxito.😌,"Dec 13, 2025",17,1532,2.4288,0,358,1.12
l7D58iQqM5g,🔥 ¿La tablet más completa del momento?,"Jun 6, 2025",41,1521,5.1614,4,3543,6.55
ZdI7HA95LwA,"🎄😌 Opciones de regalo para la suegra… porque sí, también pensamos en ella 👀✨","Dec 12, 2025",41,1502,2.4687,2,721,0.83
DDf3hI7gZF0,"Nuevo lanzamiento de Apple, iPhone 17?","Sep 9, 2025",48,1482,3.6589,0,605,3.47
8581LrwE7qY,El teléfono con Mejor Rendimiento?,"Apr 14, 2025",43,1482,3.8077,4,3663,1.97
QguEnmFvY6s,🎮🔥 ¡Atención gamers de todo el país! 🔥🎮,"Aug 25, 2025",29,1472,2.6963,3,946,2.11
GM4Qc5bUudo,Primero... una paradita estratégica en Mega Electrónicos 😅🛍️,"May 22, 2025",12,1469,1.9867,0,1352,1.85
H-W2---9Qg8,Nem todo celular é igual… e o Pixel 10 veio provar isso! 🚀,"Oct 6, 2025",49,1463,3.5204,2,869,4.49
xYPJ3y7cEoc,El día a día de todos los vendedores 😩#humor #vendedores,"Jan 29, 2026",17,1455,2.6077,0,397,1.76
kNOT4ltnazM,🚨 ¿Tu celular ya no da más? Es hora de soltarlo (como a tu ex).,"Apr 23, 2025",28,1444,2.6885,0,583,1.89
evFcupMPHKY,24 de febrero de 2026,"Feb 24, 2026",62,1444,3.2924,3,552,1.63
dY25_hyt5UU,El tablet más resistente,"Dec 16, 2025",39,1441,3.434,2,770,3.38
xjk89WfCIWA,ÚLTIMO DÍA de la campaña Mega Verano: ¡CORRE QUE AÚN ESTÁS A TIEMPO! 🏃💨,"Jan 31, 2026",25,1436,1.6327,1,783,1.66
sB11FyVI4ks,Pascua están aquí en Mega Electrónicos,"Apr 12, 2025",43,1431,2.432,0,451,2.66
EiYI4JOnHAA,🎮🔥 ¡SEMANA GAMER en Mega Electrónicos! 🔥🎮,"Aug 26, 2025",39,1423,2.7736,4,938,2.77
Lt99QKXxWew,5 productos por menos de 100.000 guaraníes,"Dec 10, 2025",48,1423,2.3866,3,532,2.63
pKloGURgzSs,Vlog: Dia Del Tereré,"Feb 28, 2026",115,1421,5.1106,3,642,2.8
6yXeSVBUVn8,13 de marzo de 2026,"Mar 13, 2026",38,1410,3.5049,3,576,1.74
GOIptaJ8p5c,No todos los celulares son iguales… ¡y el Pixel 10 vino a probarlo! 🚀#electrónicos #celular,"Oct 6, 2025",36,1399,2.8926,1,1273,3.22
rQBk1a5ag-A,🎧 Descubrí el poder del QCY H3 Pro 😍,"Sep 30, 2025",28,1395,3.71,1,7175,3.08
V5_Suc2alto,¿Valen la pena estos productos de Xiaomi? Spoiler: SÍ… y vas a querer llevártelos todos 😍🔥,"May 23, 2025",32,1387,6.0476,2,2170,4.29
Yq088ykW1Uk,La señal divina que todos necesitábamos 😇,"Jan 14, 2026",7,1386,1.2847,2,347,1.15
ZahoV1y0ano,Bueno para un tereré 😂,"Feb 28, 2026",33,1379,2.7869,4,780,1.41
UhpMehD7W8w,🔥 ¡Nuevo ingreso en Mega Electrónicos! 🔥Llega el Motorola Edge 60:,"Jun 13, 2025",37,1370,3.2717,1,2378,5.85
UzmdZBFAFLU,¿Sabías que en Mega Electrónicos también vendemos esto? 🤯✨,"Apr 17, 2025",28,1349,1.9251,0,1105,2.81
PvsHeIy-uIQ,Mega Beauty: 75% off en cosméticos,"Jan 23, 2026",58,1338,2.0871,5,401,0.5
fU4LUzvOQOM,🎄🎁 Opciones de regalos 💸 para Navidad que SANTA se muere por entregar 🎅✨,"Dec 15, 2025",54,1333,2.1507,5,727,1.79
mp2fXCsd2ls,Yo con mi IPhone 17 💅,"Jan 17, 2026",12,1321,2.0959,2,343,3.79
WS26iXdzF1Y,Reloj barato con 10 días de batería,"Dec 28, 2025",27,1302,1.8789,2,475,2.53
UKHbWuRDx6k,🎥 ¡Respondiendo sus cajitas de preguntas!Vos lo pedís y nosotros te damos 😍🙌💥,"Jun 9, 2025",40,1297,1.8125,3,2494,1.2
BlNM5eEdRiA,📱 Pt 2: Los teléfonos más buscados del mundo 🌍,"Jun 9, 2025",29,1296,3.23,3,662,1.51
UEecO4iDYDg,⚠️ ¡Precios que parecen un error de sistema! ⚠️,"Nov 5, 2025",23,1294,1.6576,0,863,1.51
5WS-HVGR2UA,✨ Skincare con 50% de descuento ✨,"Feb 6, 2026",24,1281,1.4497,0,487,1.03
vidGlLCSpEc,26 de enero de 2026,"Jan 26, 2026",40,1265,1.4708,3,371,1.08
4CFd99Y9eCg,👀 Todo el mundo está hablando del tamaño del contrato de Neymar…,"Apr 24, 2025",32,1265,3.2482,3,1360,2.43
Zhmun4dYDMc,Audisaturday 03-05-2025,"May 3, 2025",38,1263,2.3061,0,636,1.57
sx2jTK1J4L0,"Bolsa Térmica muy barata, Mega Verano","Jan 18, 2026",40,1253,1.5513,3,354,2.26
xf6OQOjZcZI,"✨ Año nuevo, celular nuevo","Jan 6, 2026",36,1245,2.5306,2,624,2.72
Fcrqy-q4Wt0,La línea Dr. Reju-All llegó y tenés que conocerla 👀💖,"Apr 11, 2026",68,1241,2.3599,1,62,4.84
UXTwkgGOjy0,Crazy Week está llegando!🔥🤪,"Feb 22, 2026",11,1240,2.0369,3,676,5.18
mLCbZBGrvPg,"Sos medio sec@ para regalar? 😅Tranquil@, ser sec@ ya no es un problema...","Jul 29, 2025",24,1219,2.1484,1,1586,1.95
dpsuF5MdMIw,🚨 No compres un aire acondicionado sin antes ver este video,"Jan 10, 2026",30,1218,2.0595,2,457,4.81
L6FLxQwK4cU,😂 ¡Nos tomamos las indicaciones al pie de la letra!,"Jun 27, 2025",51,1212,3.23,2,509,1.77
DdfsBvaUYJg,🎀✨ Los productos más girlys de G-TiDE están en Mega Electrónicos ✨,"Apr 16, 2025",47,1205,2.0587,2,737,2.31
7-QYWOPL0RM,Mi Match: El regalo de cuti cuti,"Feb 2, 2026",72,1203,5.289,5,409,0.73
x0voskgCCBE,📱⚔️ Nuevo VS: Google Pixel 10a vs iPhone 17e,"Mar 27, 2026",41,1201,3.8279,2,1290,4.03
OWey2xrcbEE,11 de noviembre de 2025,"Nov 11, 2025",33,1199,3.5487,2,572,1.75
1rXfrN_wxDk,¡Llegó la nueva generación del iPhone!📱,"Sep 9, 2025",38,1198,2.438,2,430,1.4
AV4vlULjBQY,"Promoção Mega verano, los mejores productos","Jan 8, 2026",45,1198,1.4823,0,363,1.38
m-Wpp2C1Xlw,6 de marzo de 2026,"Mar 6, 2026",40,1198,1.5674,1,490,0.61
iQOu6lnZOF4,Última oportunidad: Mi Match,"Feb 15, 2026",32,1197,1.3495,0,603,0.66
ML_RNLoGEAQ,✨ Productos de Skincare en promoción ✨,"Dec 23, 2025",29,1195,1.342,0,419,0.95
Hy_b-HoCl5Q,📺🇵🇾 Sigue celebrando en pantalla grande,"Sep 5, 2025",38,1179,2.6273,2,915,9.62
e4fv3p0bRS8,Estos productos son perfectos para tu piel ✨#skincare #centella,"Jan 8, 2026",63,1176,1.5122,0,760,1.05
dJPmZk8kNN8,Vacuum X 10 da Xiaomi,"Apr 23, 2025",38,1172,4.0784,1,2540,1.73
QkmInfKf1YM,¿Y el galán del perfil? 🤨📸 Son casi idénticos.,"Apr 9, 2025",22,1172,2.577,1,474,0.84
r92ZJVGiSgo,💳📞 Asi se ve una persona que realmente aprovecho el Hot Sale.,"Jul 8, 2025",27,1171,2.2855,2,605,1.16
wHwa2JwcLR8,¿Para qué sirven los productos de Biodance? ✨,"Jan 17, 2026",51,1171,4.03,1,446,1.35
Lz4iKjrhsAs,🎃 ¡La semana con los precios más aterrorizantes ya está aquí! #terrorificamentebuenosprecios,"Oct 29, 2025",31,1165,1.5191,0,990,2.12
 -OpzuYYhB8g,Xiaomi Redmi note 15,"Jan 4, 2026",50,1162,1.9644,2,426,3.76
t2oFRidG91A,"Xiaomi 17 pro Max, já disponible 🤩","Dec 9, 2025",72,1161,7.336,4,565,5.13
rKKVXqMwr38,El ecommerce de Mega es el mejor,"Apr 30, 2025",17,1151,2.2243,3,1977,3.64
lvKCAVTPMO8,12 de marzo de 2026,"Mar 12, 2026",40,1142,1.7665,4,462,2.81
v1BvQLAtEkQ,“¿Ustedes venden electrónicos?” 🤣,"May 4, 2025",19,1141,2.1844,0,389,2.57
IotxKH5DRjE,16 de marzo de 2026,"Mar 16, 2026",30,1134,1.7457,2,468,1.28
6fOT2h9NGHU,⚔️ Duelo de titanes: ¿Quién es el verdadero Pro Max?,"Oct 31, 2025",61,1132,4.074,1,750,3.73
I_TiM4ukz4k,24 de marzo de 2026,"Mar 24, 2026",25,1122,1.4124,1,528,1.52
6Rie0-dL-DY,📱 Con este celular no necesitás pagar una fortuna,"Jan 21, 2026",50,1117,1.9331,3,706,1.56
d8lt-Yb93AE,Protegé tu casa con tecnología que sí funciona 🔥📲,"Apr 1, 2026",44,1109,2.001,1,355,1.41
zE10o4WaQH0,👀 ¿Ustedes también tienen un jefe maravilloso así?🫶,"May 27, 2025",23,1099,2.2607,3,730,0
hmlmFF2o6bM,Mega Navidad llegó para salvarte 🎄✨,"Dec 24, 2025",35,1097,1.4751,1,650,0.15
zyzQ0rMlNqU,iPhone 17e,"Mar 18, 2026",52,1084,4.0651,1,468,3.42
uyuKy_RvwOU,¡El celular más resistente del mercado! 🚀,"Sep 25, 2025",52,1080,4.298,2,2519,4.05
t007Nkan_Vc,Notebook Audisat x105,"Feb 18, 2026",47,1073,2.6986,1,1340,6.04
x4wiXDDLB-0,Reloj con 8 días de batería,"Jan 15, 2026",28,1071,1.8159,2,400,1.75
WMYJas8up-I,7 de abril de 2026,"Apr 7, 2026",44,1070,1.885,2,98,3.06
MNJuk4PH_tk,"Si Melchor, Gaspar y Baltasar compraran hoy…","Jan 3, 2026",36,1060,1.4498,1,927,1.19
C4dYJO9F3sE,Cámaras de Seguridad: 🔒 Protegé tu casa este fin de año y viajá tranquilo,"Dec 29, 2025",52,1057,2.1559,1,697,1.29
OGBRwtb2_Cg,Fisica cuántica vs TV 98 pulgadas,"Jul 19, 2025",47,1049,1.6908,0,551,2.54
8vlsTL2E7IQ,Mega arraia 21-06,"Jun 21, 2025",37,1042,2.0631,0,373,1.34
Gp0YJVjv0-I,El calor ya se siente… y los MEJORES DESCUENTOS también 🔥,"Jan 7, 2026",29,1038,2.4042,0,555,1.44
lGeWjOpyr1I,Televisores para ver el Mundial 2026 🏟️,"Jan 12, 2026",59,1029,1.9731,1,872,4.01
PFhwxAnxRNQ,Motorola esta imitando a Apple ?,"Oct 14, 2025",35,1011,2.5826,2,2310,1.65
98euB7BHUMo,Este lanzamiento de POCO te va a volar la cabeza 🤯,"Mar 10, 2026",61,1007,2.3307,0,738,1.76
XLRUfIPknLY,13 de febrero de 2026,"Feb 13, 2026",38,997,1.7596,3,530,2.08
VecbQ0xA3IA,Realme 14 Pro: Amigo… este celular es una locura.,"Feb 1, 2026",36,996,1.8164,3,539,2.41
DP1EjcCl1i4,🚨 ¡A SOLO UN DÍA DE LA CRAZY WEEK EN MEGA ELECTRÓNICOS! 🚨,"May 7, 2025",57,990,2.7264,1,1038,3.28
CKswE_X46o8,"🎙️¡Con este microfono, ningun ruido te interrumpira más!","May 27, 2025",29,983,2.0944,0,1664,1.2
Z9iAkmsP1IY,🎨 ¡Feliz Día del Diseñador Gráfico! 🎉,"Apr 27, 2025",7,979,1.0398,0,757,2.25
24is_CSdegs,⚽🔥 ¡Hoy tiembla el corazón de un país entero!,"Jun 10, 2025",52,959,1.9047,2,912,2.41
h3zsvenC4zs,💧 Para mantener tu bebida fría por horas y sobrevivir al verano,"Jan 30, 2026",34,955,2.3057,3,937,1.71
6ubKY2WfqPs,🎬✨ Este es el proyector que va a convertir tu sala en un cine,"Mar 19, 2026",46,954,2.6857,0,1327,1.88
_PT4ax54YAc,🌞 Los productos para cuidar de tu piel este verano,"Jan 13, 2026",35,950,1.2653,1,441,1.59
t09kzNnNObU,🎃 ¡Estos precios son un verdadero misterio! Los descuentos más terroríficos del año llegaron a Mega,"Oct 30, 2025",23,941,1.1699,0,623,1.12
Ogk5mNfVuso,F7 Pro: el celular que va a romper con la competencia.,"Jun 3, 2025",31,939,3.6383,1,848,1.65
Znw3j4YOCj4,¿Te gustan las consolas portátiles? Game box G7 e Game box G5,"Jan 5, 2026",47,930,2.2402,2,768,2.99
-9vcVjITsV4,"Sin duda, es el mejor día del mes 😍¿Qué es lo primero que hacés cuando cobrás? Contanos 👇📲","May 30, 2025",14,926,1.5884,2,505,1.98
CGwCsHPELd0,📱 Pt 1: Teléfonos más buscados internacionalmente 🌍,"Jun 4, 2025",30,924,1.841,0,568,2.64
sFo_F5B-h-I,14 de marzo de 2026,"Mar 14, 2026",49,922,1.8859,3,568,2.99
bk7eG0L6ECk,🛴⚡ Directamente desde Barcelona… llegó a Mega Electrónicos,"Mar 18, 2026",44,913,2.9877,2,750,3.6
 -wLvlVpmUfc,:🎉 ¡Así vivimos este sábado en Mega Electrónicos! 🛍️,"Jun 14, 2025",35,912,2.1729,0,1604,2.62
NElczNCZv8c,📱 Pt 3: Los teléfonos más buscados del mundo 🌍,"Jun 17, 2025",35,912,2.2659,1,539,1.86
R7j4rU-poIE,Console Portátil Gamer,"Feb 20, 2026",46,908,2.7233,0,779,5.78
BTChy8Q43YE,1 de agosto de 2025,"Aug 1, 2025",48,908,1.8352,1,532,1.32
FdLW_rKiGYU,🔋 ¡NUNCA MÁS TE QUEDES SIN BATERÍA! 🔋,"Jun 19, 2025",28,908,1.8865,1,3241,1.67
SmjvHTx3JHM,¿Para qué sirve cada producto de The Ordinary?,"Dec 20, 2025",36,906,1.583,3,455,1.32
Rr1D-JUcJwQ,¿Celulares por menos de 800.000 Gs?¡Sí!,"Feb 5, 2026",40,897,2.0668,1,868,3.8
933HKPSn7yE,🎶🔥 Tres lanzamientos imperdibles de Audisat que van a subir el volumen de tus fiestas,"Dec 31, 2025",44,888,1.827,3,1317,4.18
Yzv7lEBjLBc,Después de este video vas a querer Aquaphor 💙,"Dec 29, 2025",41,887,1.2428,0,476,0.63
Ml0YfImrPXo,🚁 ¿Un drone por menos de Gs. 4.200.000 que realmente valga la pena?,"Feb 6, 2026",32,886,1.7783,1,991,1.11
5pnrni4uZqg,14 de mayo de 2025,"May 14, 2025",50,885,7.2842,1,234,3.42
uKtxZNqu6uY,Mood dos hackers,"Nov 18, 2025",16,884,1.5199,0,458,0.44
