Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
CLV46wYoqIk,🚨 Llamaron a la policía… pero valió totalmente la pena 😅🔊,"Jan 5, 2026",68,880,2.779,3,995,1.61
Dko9OfqFWhU,Estamos listos para que aproveches esta Pascua 🔥,"Apr 1, 2026",30,875,2.5147,1,725,3.31
Tw7edvGK1BI,25 de marzo de 2026,"Mar 25, 2026",44,870,1.7763,0,490,2.04
d7atrQ9ylkI,👉 Audisat Xvlog VS Hollyland Lark M2,"Sep 12, 2025",44,869,2.7569,1,2973,5.35
pSUcoKZeEQI,3 de marzo de 2026,"Mar 3, 2026",72,861,3.7335,1,427,1.64
_aiosSkAHYo,El s26 más barato del Paraguai,"Mar 4, 2026",58,850,2.074,0,417,1.2
9ZABQf8dQZ8,Protector Solar Mega Verano,"Jan 20, 2026",42,834,1.3186,2,320,0.94
jxfsZb4xmZc,El celular más resistente por menos de Gs. 650.000,"Dec 26, 2025",38,834,1.8798,2,970,1.86
1zVD-7yHVH0,Celulares Buenos Bonitos y Baratos 😍,"Apr 2, 2025",35,833,3.4007,6,3351,7.91
r5o63ThhTcU,Audisat v8,"Jan 16, 2026",45,833,1.7503,1,579,5.87
XgiZDStItzM,"¡El Cyber Day terminó, pero las ofertas no! 😍","Nov 6, 2025",44,800,1.0595,0,716,1.54
Jc5p5eE_CTw,Mood del día: ¡100% selección paraguaya!⚽,"Jun 5, 2025",15,793,1.4523,8,1781,0.62
nqL_kk5SSkg,5 de marzo de 2026,"Mar 5, 2026",65,782,2.0853,0,473,0.85
9nWR216N8sM,📱 Pt 4: Los teléfonos más buscados del mundo 🌍,"Jun 24, 2025",39,780,2.5266,5,537,4.84
AFG4yWMeSoE,26 de marzo de 2026,"Mar 26, 2026",29,773,2.0348,2,605,0.99
spDYysIVZ_I,La mejor tablet gamer del 2026 🤯,"Feb 9, 2026",47,771,2.4101,3,675,1.93
rxnWmhDw338,Nuevo stock de iPhone 17 ya llegó a Mega Electrónicos.🤩,"Sep 23, 2025",28,759,1.0221,0,474,2.53
vRBtqiuTH_I,👑🎁 ¿Regalo de Reyes Magos? Dejalo con nosotros,"Jan 6, 2026",30,757,1.2184,3,477,0.84
IRYd0STmoiI,Quién más ya rompió su primera promesa del 2026? 🙋‍♂️,"Jan 2, 2026",11,743,1.0242,0,377,1.33
nLj5cvU88Wg,🚀 ¡NUEVO MÉTODO DE PAGO DISPONIBLE! 🔥,"Jun 23, 2025",22,738,1.0585,1,1646,4.68
kXrLGXzDpuM,17 de marzo de 2026,"Mar 17, 2026",38,728,0.8489,0,326,1.53
WSxBopAtugU,Evitá el estrés de limpiar la piscina con estas aspiradoras 🏊‍♂️😌,"Jan 28, 2026",35,712,0.9113,0,673,0.89
ulbZ1v_DPt4,23 de marzo de 2026,"Mar 23, 2026",55,705,1.8125,2,505,2.77
Mo99SzDzvJQ,Conservá tus bebidas bien frías todo el día con las conservadoras térmicas de Mega Electrónicos ⛱️❄️,"Jan 10, 2026",39,705,1.121,0,733,2.46
hQsu3qehSXc,Todos reaccionamos igual a Juliana ￼ 😂🔥,"Feb 24, 2026",26,701,1.5277,1,1266,0.39
PECmyV8mgrI,El celular gamer que domina el mercado 🔥,"Jan 13, 2026",42,691,1.5644,3,822,1.82
MOd4O6h2iY0,Aire acondicionado Audisat,"Jan 27, 2026",53,686,1.9373,3,608,3.62
oRlzPRLLn6o,🏆 ¡Es tiempo de Mundial!,"Jun 10, 2025",41,679,2.0654,2,429,3.26
jvjNmCcoLek,🔥 Este celular no es para cualquiera… es para los que buscan el máximo rendimiento en un smartphone,"Oct 1, 2025",44,678,1.7062,5,848,2.12
vjYrdTWC1Lo,La tablet más accesible de Xiaomi,"May 22, 2025",42,668,2.4194,2,1963,10.39
DHjffIE_exI,"Oooohhh nOooo, la poliziaaa 😂¿A quién más le pasó? 🙈","May 28, 2025",11,659,1.1864,1,572,0.52
zqn1kEgJ00w,26 de marzo de 2026,"Mar 26, 2026",36,659,1.9037,1,406,1.48
zi1rZGJkb4E,🎉💥 ¡Encendé la fiesta donde sea! 💥,"Jun 24, 2025",34,653,1.8189,1,971,2.99
StmsRrWA5D0,🎉 ¡Damos inicio a nuestro Mega Arraial! 🎊✨Así se vive el São João aquí en Mega:,"Jun 20, 2025",20,644,0.6831,0,801,1.25
tv-CEmOqFzg,📺✨ Sentí la magia de cada partido con nuestras Smart TVs,"Sep 1, 2025",49,642,1.6034,2,2176,5.28
YDyddx5z_nA,Mega San Juan,"Jun 20, 2025",17,637,1.238,0,297,0.34
BnBUMGfUvV4,Será este el mejor smartwatch para los deportistas? 🤔,"Jul 23, 2025",36,635,1.3481,1,1590,5.41
EckSa4c6AdY,¿Querés tu pedido más rápido? 🚀 Tocá el círculo rojo y mirá la magia ✨,"Jul 23, 2025",11,632,0.5249,0,440,0.23
wz1g-p0_I9E,💨 El calor no perdona… pero Audisat sí 😎,"Jan 15, 2026",39,629,1.861,2,1003,2.29
Pjtu6LuidEc,🔥 ¿Sabías que la forma en que percibimos el color puede cambiar nuestra realidad visual? 👀✨,"Oct 23, 2025",32,624,0.9075,1,885,2.03
4Mk0bQzZ-ls,🚗✨ ¡Llevá la experiencia de manejo a otro nivel con el Audisat X Carplay CA361-B4!,"Aug 5, 2025",56,607,2.8813,0,2401,7.04
5tjvmSCFXb4,11 de marzo de 2026,"Mar 11, 2026",20,585,0.9715,0,485,0.41
n3m0ZtyrxaQ,🔥 ¡Las promociones más cibernéticas ya están aquí!,"Nov 4, 2025",28,569,0.5213,1,589,1.19
IfgjeZ7_0r8,"🎉 ¡Feliz 69° aniversario, Ciudad del Este! 🎉","Feb 3, 2026",48,552,0.8315,0,675,2.07
MjF_B-UDeH4,Já está preparado? Cada vez mais perto a Crazy Week! 📢📢Não se esqueça: de 8 a 11 de maio 🤩🤩,"Apr 15, 2025",10,547,0.6363,1,1751,1.37
ufS0sgXSEpo,⌚ ¿De verdad vale la pena un smartwatch hoy en día… o es solo otro accesorio más?,"Jan 9, 2026",32,545,0.7666,1,1038,2.22
s0lD0f3aTik,💄✨ Mega Beauty Week ✨💄¡La semana de la belleza llegó a Mega Electrónicos! 🤩,"Aug 20, 2025",46,544,0.7281,2,653,1.38
PiNxIUkU_Ys,Empezó Mega Cliente en Mega Electrónicos 😎,"Mar 1, 2026",41,543,0.6341,0,459,4.36
7K7ixE1FxyQ,🔥 ¡Siguen las promos de la Semana Gamer en Mega Electrónicos! 🔥📱,"Aug 27, 2025",49,527,1.0343,1,426,3.29
JyTP_cfIeu8,iPhone 17 Pro,"Sep 20, 2025",27,515,0.568,0,375,5.6
hJ4hK7iKato,🚗💡 ¡Transformá tu auto en una central multimedia con el Adaptador USB Carplay Wireless Modelo X!,"Jul 28, 2025",45,497,2.6319,1,2904,4.2
PNs1HaQSsps,Toda la potencia de una PC… en tamaño compacto ⚡💻,"Sep 18, 2025",35,490,0.8165,2,1391,2.08
7_NDd1ogfJg,🎁 ¡Sorprende a papá con estos regalos por menos de 300.000 Gs! 🎉#tecnologiabarata,"Jun 13, 2025",37,485,0.8282,0,930,1.61
f5AgM2bAfXE,Financia tu compras hasta en 24 cuotas sin intereses 🤩,"Oct 9, 2025",26,481,0.5004,0,558,2.51
09p4S3p1lJA,Entrega hasta 72 horas,"Dec 14, 2025",79,448,0.5042,1,308,3.9
ozlnOUVaa0w,La consola que mas vale la pena en la actualidad?🤔,"Feb 27, 2025",29,448,1.597,2,2659,6.05
ge3Gjaendb8,Reloj Premiun Mibro Lite 3 Pro,"Feb 14, 2026",34,438,0.649,2,565,0.71
iI-kQHGKyZ8,¿Buscás cámaras profesionales o querés empezar en el mundo de la fotografía? 🤩📸,"May 16, 2025",32,419,0.5078,1,597,2.85
VOo2fBZRhoc,🌸✨ ÚLTIMAS HORAS DE SPRING VIBES ✨🌸,"Sep 30, 2025",18,418,0.3791,0,518,0.97
n3AIX3Nc2p8,🖤 ¡BLACK NOVEMBER con los descuentos online más top del año! 🖤,"Nov 14, 2025",23,407,0.4677,0,693,2.74
IzPqELm570U,🎉 ¡Aprovechá el Crazy Week para sorprender a mamá!,"May 5, 2025",35,393,1.8492,0,597,2.85
KS6zn728cyI,🚗✨ Transforma la experiencia dentro de tu auto,"Jan 3, 2026",39,378,0.4975,0,410,2.2
_dkNh877NsA,El tercer día de la Crazy Week,"May 11, 2025",40,376,0.2957,0,509,3.34
Y9XQxwiE1sk,💘 ¡Hoy el amor invadió Mega!,"Jun 8, 2025",60,369,0.3243,0,309,0.97
UeHCQz-HgMY,💘 Hoje saímos pelas ruas pra fazer uma pergunta especial:,"Jun 11, 2025",92,365,0.3789,0,402,1
SWB_Lrx2bBU,¿Querés ganar un iPhone 17 Pro Max?,"Nov 19, 2025",33,352,0.4814,3,560,4.46
JesrNknSZ9k,Itel s26 ultra Unboxing,"Mar 7, 2026",62,342,0.5274,0,534,0.94
op85NFqm8Fo,🚨🔥 ¡ARRANCÓ EL HOT SALE EN MEGA ELECTRÓNICOS PARAGUAY! 🔥🚨,"Jul 7, 2025",20,327,0.436,0,1157,1.73
9wLe4k6CTiw,🔥📱 ¡Celulares por menos de 800.000 Gs! 😱,"Jun 24, 2025",33,318,0.5983,1,584,2.74
73as7DDZ8Wc,Mega Arraia 20/06 con Mariana menezes,"Jun 28, 2025",28,316,0.3393,0,1160,0.34
8-KMHhBxcbU,"Micrófono Hollyland, lo mejor para grabaciones externas","Feb 4, 2026",27,315,0.4202,1,439,0.91
r50wlB0v7cM,Mejor JBL 😉🫣,"Feb 12, 2025",35,312,1.1587,2,2248,3.51
9G8ZDb7qo04,🚗📱 Convertí tu auto en una central multimedia inteligente,"Dec 13, 2025",56,307,0.3542,0,474,1.05
UuUfkKlKzOQ,La Canon EOS R50 V es la opción ideal para llevar tu contenido a otro nivel 🔥,"Apr 9, 2026",38,290,0.2668,1,184,0.54
SaedR-vcp-c,26 de febrero de 2026,"Feb 26, 2026",56,289,0.4206,0,443,0.9
44G-A8k9if8,El Cyberday se acerca.,"Oct 31, 2025",31,288,0.3239,1,544,0.74
zr6oZSe6LE4,El segundo día de la Crazy Week en Mega Electrónicos,"May 10, 2025",36,285,0.5124,1,722,3.19
AQA21VvHpvQ,🍂 ¡El otoño llegó y es hora de entrar en calor con nuestros productos!,"May 6, 2025",34,283,0.3536,0,417,1.68
kS9SBJX3LT4,¿Buscás cámaras profesionales o querés empezar en el mundo de la fotografía? 🤩📸,"May 20, 2025",32,267,0.3926,1,583,3.26
BTmP1T8lEWs,🎶🔥 ¿Vale la pena el JBL Grip?,"Nov 12, 2025",41,266,0.4184,0,1143,2.27
dkdp7jiT128,Conheça a TV box Xiaomi 📺,"Apr 19, 2025",41,254,0.3284,0,442,0.9
6VwRq19zQB0,🎃 ¡La semana con los precios más aterrorizantes llegó! 👻,"Oct 27, 2025",36,252,0.4987,1,584,1.37
_4is3vwMNP4,🔥 El nuevo Xiaomi 17 Pro Max — ¿estás listo para conocerlo? 🚀,"Oct 28, 2025",43,245,0.5606,0,823,3.4
7J6HMwhvnwc,Así se viven los sábados en Mega Electrónicos! 🥳,"May 24, 2025",39,244,0.5002,0,1065,2.07
YvrSe7Q9lOE,¡🔥CAYÓ LA CAJA Y TAMBIÉN CAYERON LOS PRECIOS!🔥HOY es el último día de la HOT SALE 🛍️,"Jul 9, 2025",21,237,0.2561,0,674,0.74
oyEW1kKGbhg,Los productos perfectos de Biodance para cuidar tu piel como se merece 💆‍♀️✨,"Oct 9, 2025",13,236,0.1886,1,802,0.75
xW5mJadHs0A,🌸✨ SPRING VIBES en Mega Electrónicos ✨🌸,"Sep 22, 2025",35,235,0.2754,0,610,1.31
JeBG9wfKyHY,Día 04 - Hack Friday 23/11,"Nov 24, 2025",47,230,0.2252,0,413,2.66
i5wHKmIt_RI,Llegó el momento de cambiar de tecnología sin gastar de más 🍂📱,"Mar 16, 2026",28,229,0.2968,0,450,2.22
enx2C6vrPpE,📱✨ ¿Este será el celular más inteligente de todos?,"Jun 11, 2025",37,219,0.3767,1,720,2.08
4V5Itgb0wP4,Métodos de pago que aceptamos en Mega Electrónicos,"Mar 15, 2025",31,214,0.8612,0,1235,7.13
sVC0hEDixYI,🎄 El regalo perfecto te espera en Mega! ✨,"Dec 11, 2025",73,212,0.1381,0,369,1.36
RND_tB-_NTE,Grabador de voz ideal para clases y reuniones,"Apr 13, 2025",47,207,0.5973,1,787,3.56
obFqgPOcVRA,iPhones Asuncion x Cde,"Oct 10, 2025",45,207,0.4212,0,480,4.58
YRI4odH2Dtk,La CRAZY WEEK volvió!!! 😍,"Apr 1, 2025",18,206,0.4595,1,1396,3.65
RknhsVRj7BM,🛒 ¡Comprá sin salir de casa y recibí tu pedido en la brevedad posible! 📦✨,"May 21, 2025",44,206,0.2849,1,499,1.4
zpmWeeHVX3A,Pocas horas para el cyberday,"Nov 2, 2025",18,205,0.183,0,556,0.72
F5l3-uIwz04,Abrimos la cajita de preguntas y mirá lo que nos pidieron 👀📦,"Apr 10, 2025",38,204,0.7716,1,1724,3.31
7rom-nBhlvA,Mega Beauty: Tus marcas favoritas,"Jan 24, 2026",35,204,0.2242,0,370,1.08
Yg1g2TnEBRg,Financia tu compras hasta en 24 cuotas sin intereses 🤩,"Dec 3, 2025",24,201,0.2352,0,395,4.56
NeJdfTj1D-g,22 de diciembre de 2025,"Dec 22, 2025",36,201,0.1778,0,323,0.31
oM6QtzgaUv0,❄️ ¡Relojes con Precios Congelados! ❄️,"Jul 21, 2025",45,196,0.3625,0,653,2.14
v32OAiVgocE,Mega Beauty: productos que tengo celo de compartir,"Jan 27, 2026",48,194,0.1854,0,370,0.27
O1aHV_6GcPM,🔥 ¡El momento más CYBERNÉTICO del año llegó!,"Nov 3, 2025",24,193,0.1975,0,763,0.92
W0FqAnnKJWs,Auriculares con cable: los clásicos están de vuelta,"Mar 25, 2025",40,192,0.8707,0,1492,3.08
Eu4RkfQxbNE,Hoy venimos acá con el corazón apretado 💔,"Jun 4, 2025",47,191,0.2681,0,309,0.97
v1C-pGR5Yqk,🎮 UNBOXING | GameSir G7 Pro Zenless Zone Zero – Edición Collection 🔥,"Jan 21, 2026",69,183,0.3014,0,700,1.29
IyZFqqEQf9s,ASUS Vivobook S15 💻,"Apr 8, 2025",47,170,0.9706,1,1336,2.92
6XtpKEyqaAc,¡El lanzamiento más ULTRA de Xiaomi! 🤯,"Apr 2, 2025",65,169,1.36,1,1010,7.52
Z2pz9XmOC90,El hada de los descuentos mágicos ✨ esta semana se encargó de concederle sus deseos a los niños 💙🎁,"Aug 14, 2025",37,167,0.4203,0,433,2.31
6CCcvhYDpt8,💄✨ ¡Mega Beauty está de regreso y más poderosa que nunca! ✨💄,"Oct 7, 2025",24,160,0.1935,1,604,0.5
hYhkNotnIh4,🔥 ¡Freidoras eléctricas que enamoran y a precios que no vas a creer! 😍,"Jun 2, 2025",39,158,0.2057,0,585,1.2
oUBxyerNzjQ,📱💥 ¡Una vez más Realme nos sorprende con su nuevo lanzamiento!,"Jul 1, 2025",38,157,0.352,1,470,3.4
4v7YEi8Hopg,✨ Si sos apasionado por la belleza y el autocuidado… ¡esta semana es para vos! ✨,"Aug 18, 2025",33,156,0.1835,0,614,1.63
Owe0-oFczKA,✨ Ya llegó el hada madrina,"Jul 24, 2025",39,156,0.1886,0,556,0.9
00jSd3eWeds,¿Estás preparado para tener el ambiente más limpio? 🌿✨,"Jul 24, 2025",41,154,0.155,0,406,0.74
oDkvdfaIGxc,"Novos Apple Watch Series 11, Ultra 3 e SE 3","Sep 10, 2025",30,153,0.1055,0,587,0.85
4xVZltnYCDs,Así es como se disfruta el verano ☀️,"Jan 9, 2026",33,151,0.1729,0,435,1.84
OCJ1CQDdl-w,🔥 ¡CADA VEZ MÁS CERCA EL HOT SALE DE MEGA ELECTRÓNICOS! 🔥,"Jul 4, 2025",47,149,0.2166,0,708,0.99
hvkbqTMJv0o,"Atouch Pro Kids, la mejor tablet infantil ✨","Jan 22, 2026",41,146,0.817,1,681,7.49
cNnR6HIHkWc,Con esta cámara tenés el **chisme completo… con pruebas** 😎📹,"Jan 20, 2026",42,144,0.2393,0,568,1.76
6kqmPwb2N90,Día 02 - Hack Friday 21/11,"Nov 24, 2025",41,142,0.1042,0,404,0.25
9i6Ovf2sAsc,Electrónicos en promoción de navidad,"Dec 23, 2025",45,142,0.1874,1,313,2.56
Th5w6qHgfWo,24 de septiembre de 2025,"Sep 24, 2025",20,141,0.1137,1,329,1.22
gE674mK-_xA,❄️ ¡La temperatura bajó y los precios también! ❄️,"Jul 14, 2025",27,138,0.2098,0,507,1.38
G_m6y4tE830,"🛒 ¿Puedo comprar desde mi casa? ¡SÍ, PODÉS! 📦🇵🇾","Apr 29, 2025",17,132,0.2823,1,692,3.47
u8SXGmUbSvA,🎥✨ ¿Querés una imagen realmente nítida?,"May 27, 2025",37,131,0.2768,0,589,4.07
qJrWJAhlnGU,Recién cobrado y directo a Mega Electrónicos! 🛍️📱,"Apr 3, 2025",11,128,0.2062,0,783,3.07
7XjujJ0vk7c,¡Comprar el regalo para papá nunca fue tan fácil! 🎁👨‍👧‍👦,"Jun 6, 2025",32,127,0.1469,1,981,1.02
FRIdUGJvmA8,La Mega Frozen se extendió hasta el 26/07.,"Jul 21, 2025",20,123,0.1212,0,404,1.73
3bhokHsIHtU,¡Hoy fue sábado Blackview en Mega Electrónicos! 🎉🖤,"May 31, 2025",37,122,0.2003,0,954,1.68
hAGgoD51I-A,🎁 ¡Últimos días para participar! 😱,"Oct 27, 2025",24,119,0.3714,0,549,0.55
ouQsw-NzLGE,"No pierda más su marido, localizador Audisat","Dec 17, 2025",34,115,0.8854,0,432,4.4
l7QT5X0uzZw,Realme Note 60! #shorts,"Jan 21, 2025",54,111,0.5095,2,834,2.76
TMoBxFx575Y,"Si aún no sabés cómo hidratar, cuidar y revitalizar tu cabello… Joico es la opción perfecta para vos","Oct 14, 2025",20,108,0.0717,0,512,0.98
PhwmCvU1rAk,🔥 ¿Te gustaría conocer nuestras ofertas del día? 🔥,"May 16, 2025",30,103,0.0927,0,430,1.86
_9HqmaSi0U4,"Un smartphone increíble por solo Gs 617.000 🤩? ¡Parece difícil de creer, pero es REAL!","Apr 9, 2025",34,101,0.3703,0,644,2.48
AwPh9sfTLXc,Día 01 - Hack Friday 20/11,"Nov 21, 2025",49,96,0.0697,0,408,1.72
_1tbI591f6Q,🎁✨ Comprá el regalo perfecto esta Navidad y llevate hasta 25% de reintegro,"Dec 11, 2025",28,93,0.0905,0,462,0.65
NtsINcAcXoQ,✨Los productos perfectos para tu autocuidado están acá ✨🌿,"Jul 31, 2025",56,90,0.082,0,486,1.03
tkTz4mLCGw4,Celular te ofrece la mejor experiencia y pagando 3 veces menos 🤯,"Feb 8, 2025",48,81,1.6176,0,1059,2.83
PgLv1Jzlgfs,¡Se trabó tu pantalla mientras jugabas?,"Mar 19, 2025",22,81,0.2132,0,882,1.59
mB3sUfbEjkc,Unboxing Nikon z50,"Mar 25, 2025",44,77,0.4594,0,637,2.2
QSWsnLq0b_8,Tus compras en PY  🇵🇾,"Feb 10, 2025",36,67,0.2296,1,463,4.1
aw6d-44XqEE,Independencia del Paraguay,"May 15, 2025",12,67,0.0436,0,260,0
bk8yXQ5oSGY,Uno de los celulares más vendidos de manera online 😱,"Feb 25, 2025",38,56,0.1735,1,355,3.1
fY7et1ZkseU,Campana del Niño - Descuentos Mágicos,"Aug 11, 2025",41,50,0.18,0,363,4.13
iY48TmZ5v7M,Que buscan los Argentinos? 🇦🇷,"Mar 20, 2025",33,50,0.2265,0,443,2.71
9ebx9fpxRro,Opciones de Notebook para vueltas a clases 💻🤩,"Feb 17, 2025",35,48,0.1961,1,384,1.82
WA7HZYn9gwE,Mega Electrónicos - Promoción de Otoño,"Mar 26, 2025",50,47,0.4106,0,492,2.03
ihJ8JcxystM,Cuando tu jefe te pregunta por qué tardas tanto en el baño,"Mar 22, 2025",8,46,0.054,0,251,1.2
j-kb978tQqk,Elegí tu Teléfono Xiaomi Favorito 😍😍,"Mar 27, 2025",10,45,0.0573,0,413,0.48
1x-7CWOi2L4,Día del Niño 👦😍,"Aug 16, 2025",61,45,0.0693,0,393,1.78
92gj-XibJKg,"¡Hoy la energía en Mega Electrónicos estuvo a full! 🇵🇾✨ Comida típica, premios y mucha diversión.","Apr 5, 2025",50,45,0.176,0,331,2.42
_EXpSV7IeDk,La manera perfecta para Ignorarle a la Suegra 😂,"Mar 31, 2025",27,43,0.1041,0,356,0.84
VRY_MPnN3zA,Celular edición Mobile Legends!,"Jan 26, 2025",46,42,0.1893,1,233,6.01
PE3K9hDKr-I,iPhone por G$ 1.000.000😱,"Feb 9, 2025",36,41,0.1656,1,305,3.61
aRDINYk7Ayw,Xiaomi Mix Flip.,"Jan 25, 2025",60,37,0.3083,0,283,1.41
Pz0LDTAYp8c,El primer celular plegable de Motorola 📲🤩🛒,"Feb 11, 2025",59,32,0.1831,0,404,0.74
uPjhTYUsJmE,Muchas novedades locas están por venir... 👀 La fecha ya la sabés: del 8 al 11 de mayo 🔥,"Apr 8, 2025",15,32,0.0457,0,204,1.47
Sa5qZqNcl5M,App Mega Electronicos. #shorts,"Jan 22, 2025",35,31,0.0708,0,295,1.69
wGoSt12r-Yg,Xiaomi Poco X7 Pro ! #shorts,"Jan 21, 2025",49,28,0.1278,0,151,1.99
E2LkUjZC_ek,Resumen de nuestro evento 22-03-2025 con nuestros clientes que están aprovechando el feriado largo.,"Mar 22, 2025",40,28,0.065,0,175,0.57
yv_jK6g0X9s,Apple rompera el mercado con este lanzamiento?,"Feb 20, 2025",50,28,0.1649,0,212,0.94
9gaQA7bfW6Q,3 Nuevas Funciones que no conocias🤩 🔍,"Mar 5, 2025",55,24,0.0778,0,147,2.04
1_HX-DPhNMA,Xiaomi Redmi Note 14 Pro! #shorts,"Jan 20, 2025",45,22,0.0704,0,105,1.9
7S7_thcGcEE,Cargador inalámbrico xiaomi. #shorts,"Jan 23, 2025",34,22,0.078,0,272,1.47
oyhnT4OQmgs,"Si te gusta pagar caro, mejor no mires.","Mar 21, 2025",42,20,0.0849,0,158,1.9
Rg-u16q_R8Q,Sábado de Campaña de Bienvenida al Otoño,"Mar 29, 2025",47,20,0.0533,0,173,0
Td5WphPbN9w,Nuevo celular de xiaomi.,"Feb 18, 2025",56,19,0.0665,0,123,1.63
JwFKb4-ZEXA,PLAUD NOTE NP recordar reuniones ya no sera una misión imposible 🤩📝,"Mar 1, 2025",48,18,0.059,0,225,0.44
0BEzeGTqvnw,Año nuevo celular nuevo. #shorts,"Jan 22, 2025",37,16,0.0267,0,142,0
LsdrxgIlWtY,19 de mayo de 2025,"May 19, 2025",30,16,0.0274,0,203,0.99
qov2nM-1Vu8,¿Cuál es tu juego favorito? Cierre de la Semana Gamer 🎮🔥,"Aug 30, 2025",65,1,0.0039,0,0,
