"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18319537225215642,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🚨 Já chegou na Mega Eletrônicos! 🚨

O iPhone 17 Pro chegou trazendo tecnologia de outro nível:
📱 Tela OLED 6,3” com brilho de 3000 nits e 120 Hz
⚡ Chip A19 Pro ultra veloz
📸 Câmeras 48 MP com teleobjetiva de 4x zoom
🔋 Bateria para até 31h de vídeo
💾 Armazenamento: 256GB, 512GB e 1TB

A Mega Eletrônicos é Apple Authorized Reseller, oferecendo produtos originais com garantia oficial. 🍎

Disponível na loja a partir de terça-feira.
Comente abaixo: qual valor você imagina para este lançamento? 💭

#iPhone17Pro #MegaEletronicos #AppleAuthorizedReseller #lançamento",26,"09/20/2025 11:28",https://www.instagram.com/reel/DO1YhEykRpZ/,"Reel do Instagram",,Total,167369,136840,715,65,44,202,65
18101863777530758,17841407601225083,dicadawinie,"Winie Anand","IPhone 17 chegou na @megaeletronicosoficialpy @megaelectronicosparaguay !

Vocês vão encontrar todos os modelos novos 17, 17 Pro, 17 Pro Max e Iphone Air!

#comprasparaguai #iphone17",20,"09/20/2025 12:39",https://www.instagram.com/reel/DO1gdGxEsFC/,"Reel do Instagram",,Total,39423,,536,17,,29,0
17972205566930723,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🚨E o mais falado tambem já está na Mega Eletrônicos! 🚨

O iPhone Air chegou trazendo inovação e design ultraleve:
📱 Tela OLED 6,1” com brilho de 2500 nits e 120 Hz
⚡ Chip A19 com performance otimizada
📸 Câmeras 48 MP com fotos e vídeos em altíssima qualidade
🔋 Bateria de longa duração, perfeita para o dia todo
💾 Armazenamento: 128GB, 256GB, 512GB e 1 Tb.

A Mega Eletrônicos é Apple Authorized Reseller, oferecendo produtos originais com garantia oficial. 🍎

Disponível na loja a partir de terça-feira.
💭 Comente abaixo: qual valor você imagina para este lançamento?

#iPhoneAir #MegaEletronicos #AppleAuthorizedReseller #lançamento #iphone17 #apple",23,"09/21/2025 08:08",https://www.instagram.com/reel/DO3mZ5MEWVv/,"Reel do Instagram",,Total,80222,71020,358,17,12,45,18
18058089254615256,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Chegou o novo Iphone 17 no Paraguai!!!

É claro que já tem na Mega Eletrônicos!

Aqui vocês encontram os modelos: 17, Air e 17 Pro Max!!

Eles estarão disponíveis pra venda a partir de terça feira dia 23 de setembro. 

Quando os preços ficarem disponíveis que trago pra vocês saberem.

Coloca nos comentários qual preço vocês acham que ele vai estar aqui no Paraguai, quero ver quem acerta!

#paraguai #comprasparaguai #iphone #iphone17 #apple #celular",45,"09/21/2025 08:57",https://www.instagram.com/reel/DO3rLkgjpEO/,"Reel do Instagram",,Total,46142,,684,63,,36,0
18067338938215933,17841401573017083,comprasparaguai,"Compras Paraguai","TEM PREÇO DO IPHONE 17!

🚨📱 A espera acabou! Os novos iPhones 17 já desembarcaram na Mega Eletrônicos, direto de Ciudad del Este! 😍✨

E o melhor: com preço de lançamento imperdível! 🔥

👉 Garanta já o seu e seja um dos primeiros a ter essa novidade nas mãos!

✅ O Compras Paraguai é um site comparador de preços das melhores lojas do Paraguai. Não vendemos nem enviamos qualquer produto para o Brasil.

✅ Para comprar com segurança recomendamos que você venha pessoalmente até as lojas de Ciudad del Este que indicamos em nossas plataformas.

#iPhone17 #MegaEletronicos #CiudadDelEste #AppleLovers #Tecnologia #LançamentoApple #iPhone17Paraguai #PreçoDeLançamento #NovidadesApple #ParaguaiTech",69,"09/22/2025 03:25",https://www.instagram.com/reel/DO5q6TnEdv3/,"Reel do Instagram",,Total,101867,,1505,291,,77,0
18076951268090949,17841429544554900,blogueiracamilar,"CAMILA G RAMOS","Chegouuuuu o iPhone 17 na @megaeletronicosoficialpy 😮‍💨😮‍💨😮‍💨 Disponíveis a partir de USD1130 😱 Os valores do iPhone 17 podem haver alterações* 

Eu quero MUITOOOOO! E você? A diferença está incrível! 

#iphone17 #iphone #iphone17promax #paraguai #comprasparaguai #cidadedeleste #py #paraguai🇵🇾",50,"09/22/2025 13:58",https://www.instagram.com/reel/DO6zQzoiW9B/,"Reel do Instagram",,Total,38956,,684,267,,102,0
18067893698211179,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","O carregamento mais aguardado do ano acabou de pousar na Mega Eletrônicos! 🚁📦

🔥 O iPhone 17 chegou em primeira mão — e o nosso estoque é SUPER LIMITADO.

Quem deixar pra depois, vai ficar sem!!! 😱

📍 Mega Eletrônicos – Ciudad del Este
⏳ Lançamento AMANHÃ

👉 Seja um dos primeiros a garantir o seu. O futuro já chegou — mas vai acabar rápido!

#apple #iphone17 #iPhone17Pro #MegaEletronicos #AppleAuthorizedReseller #lançamento",28,"09/22/2025 15:08",https://www.instagram.com/reel/DO67J9xj5xT/,"Reel do Instagram",,Total,48900,32068,426,161,12,80,15
18072778133182025,17841401696555467,aventurese.comigo,"Edilaine Correia | Foz do Iguaçu | Influencer","O iphone 17 chegou no Paraguai 🇵🇾 

Para mais informações seguir o perfil: @megaeletronicosoficialpy 

📍Monseñor Rodríguez esquina, Cd. del
Este 7000, Paraguai, próximo da aduana paraguaia. 

⏰Seg à sexta das 07h às 16h30| sábado até as 15h. 

Ficou com mais alguma dúvida? 
Deixe aqui nos comentários 👇🏼",17,"09/23/2025 03:25",https://www.instagram.com/reel/DO8PqBdjlnf/,"Reel do Instagram",,Total,32378,,371,154,,51,0
18151808779402706,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","📷 A revolução das câmeras chegou
O iPhone 17 Pro traz um sistema de câmeras profissional para capturar cada detalhe com precisão.
🔹 Sensor principal de altíssima resolução para fotos nítidas mesmo com zoom.
🔹 Modo Noturno aprimorado para imagens claras em baixa luz.
🔹 Vídeos em 8K com estabilização avançada.
🔹 Ultra-wide e teleobjetiva para ampliar seus ângulos criativos.

✨ É como ter uma câmera profissional no bolso, pronta para qualquer momento.

📦 Quer ver tudo isso na prática? Acompanhe o nosso unboxing exclusivo do iPhone 17 Pro.

#iphone17pro  #applebrasil #megadeals #megaeletronicos #tecnologia #iphone #applelovers",42,"09/23/2025 14:02",https://www.instagram.com/reel/DO9YetHERgn/,"Reel do Instagram",,Total,44441,43557,179,50,2,49,6
18051149150298497,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🍎 Descubra o futuro na palma da sua mão com o novo iPhone Air 17🔥
Com apenas 5,6 mm e 165 g, o iPhone Air 17 é o mais fino já feito, com design em titânio.

⚡ Bateria poderosa: até 27h de vídeo e carga rápida de 50% em 30 min + até 4h extras em relação às gerações anteriores.

🚀 Desempenho imbatível com o chip A19 Pro, tela imersiva de 6,5”, ProMotion 120Hz e brilho de até 3000 nits.

📸 Câmeras avançadas:
	•	Principal Fusion 48 MP com Dolby Vision 4K 60 fps
	•	Frontal 18 MP com Center Stage

👉 Resultados profissionais em um design ultrafino.

📍 Já disponível na Mega Eletrônicos 
Você está preparado para provar essa revolução?

#iPhoneAir17 #Apple #iPhoneMaisFino #AppleIntelligence #BateriaQueDura #TecnologiaApple #DesignIncrível #ProMotion120Hz #48MP #ChipA19Pro #megaeletronicos #cde #paraguay",0,"09/24/2025 11:00",https://www.instagram.com/p/DO_ofBKD76B/,"Carrossel do Instagram",,Total,37899,6537,87,11,0,9,2
18096053569590685,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","O celular mais resistente do mercado! 🚀

🔹Bateria de 15.080mAh: até 30 dias de uso moderado sem precisar carregar.
🔹 Tela traseira inteligente: tire selfies com a câmera principal, acompanhe seus passos, controle músicas, veja o clima e personalize o relógio.
🔹Tela gigante de 6.7"" Full HD+ com 120Hz
🔹 Indestrutível de verdade: aguenta impactos, quedas, é à prova d’água e feito para trabalhos pesados.

Se você procura um celular tudo-terreno que encara qualquer desafio, o Blackview BV9300 Pro é a escolha certa!

👉 Quer que a gente teste a resistência dele? Deixe nos comentários!
#blackview #bv9300pro #celularresistente #smartphone #paraguai #ciudaddeleste #megaeletronicos #turismoparaguai #comprasnoexterior #tecnologia #gadgets #lançamento",55,"09/25/2025 07:12",https://www.instagram.com/reel/DPBzHkGjhs8/,"Reel do Instagram",,Total,20559,15201,219,97,15,88,16
17890659420347891,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🍎 Chegou o iPhone 17 Magicolorido 🌈 
Design ultrafino, leve e com 7 cores incríveis. Tecnologia de ponta com muito estilo.

🔹  Tela imersiva de 6,3”, brilho de até 3000 nits e ProMotion 120Hz. Visual incrível em qualquer condição.
🔹  Desempenho turbo com chip A19, 40% mais rápido, iOS 26 e Apple Intelligence para uma experiência mais inteligente e fluida.
🔹  Bateria poderosa, +10h de autonomia, carregamento rápido: 50% em 30 minutos.
🔹 Câmeras de 48 MP, Resultados profissionais em fotos e vídeos com Dolby Vision 4K. Frontal de 18 MP com Center Stage.

📍 Já disponível na Mega Eletrônicos
Você está pronto para essa revolução?

#iPhone17 #Magicolorido #AppleIntelligence #ChipA19 #iOS26 #BateriaDurável #Câmera48MP #MegaEletronicos #CDE #Paraguay #AppleBrasil #TecnologiaComEstilo #paraguay",0,"09/25/2025 14:00",https://www.instagram.com/p/DPCh-cRAW_p/,"Carrossel do Instagram",,Total,35458,5554,70,15,1,7,3
17898771300277868,17841407601225083,dicadawinie,"Winie Anand","Se você busca mais entretenimento no seu carro, praticidade e também poder rotear internet para todo mundo que estiver no seu carro! O Car Play da Audisat foi feito para você!

A @megaeletronicosoficialpy é importadora da Marca no 🇵🇾 !",29,"09/26/2025 03:07",https://www.instagram.com/reel/DPD7oYsjghz/,"Reel do Instagram",,Total,51518,,707,841,,31,0
17952123183008538,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","⚡CHEGOU O MOMENTO MAIS ESPERADO ⚡

De 20 a 23 de novembro, você é nosso convidado para viver a Hack Friday 2025 na Mega Eletrônicos! 🚀
Quer aquele celular novo? Um fone de última geração? Ou aproveitar para renovar seus eletrônicos? Aqui você encontra tudo isso com descontos de verdade 🤩 Então já marca essa data no seu calendário!

📍 Estamos pertinho de você, em Ciudad del Este – Paraguai

🔥 Vem garantir suas ofertas e fazer parte dessa Black Friday inesquecível! 🔥

#megaeletronicos #blackfriday #blackfriday2025 #ofertas #descontos #promoções #comprasparaguai #ciudaddeleste",26,"09/26/2025 08:06",https://www.instagram.com/reel/DPEeJzDgmyh/,"Reel do Instagram",,Total,358872,181361,349,201,326,19,23
17944244583058185,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Esse é o smart watch da Audisat, o X5 pro.

Ele é super completo, bonito e tem um preço incrível aqui no Paraguai, na loja da Mega eletrônicos!

Ele é quase um celular de pulso de tão completo!

Me conta o que achou e me diz se teria um desse.

#paraguai #comprasparaguai #relógio #eletronicos",36,"09/26/2025 10:20",https://www.instagram.com/reel/DPEtFAQjnLk/,"Reel do Instagram",,Total,28720,,467,385,,34,0
18290300908283854,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🍎 iPhone 17 Pro – Potência e design sem limites 🚀

O iPhone mais poderoso já criado, com design ultrafino e materiais de altíssima qualidade.

🔹 Tela Super Retina XDR de 6,7” com até 3000 nits e ProMotion 120Hz.
🔹 Chip A19 Pro Max: desempenho 40% mais rápido e Apple Intelligence para o dia a dia mais inteligente.
🔹 Design ultrafino de 6 mm e 170 g, disponível em cores exclusivas.
🔹 Câmera Pro Fusion de 48 MP + frontal de 18 MP com Center Stage.
🔹 Vídeo Dolby Vision 4K a 120 fps com captura dupla de tela.
🔹 Bateria de longa duração, +10h extras de autonomia e recarga rápida: 50% em 20 minutos.

📍 Já disponível na Mega Eletrônicos Paraguay
Garanta o seu antes que acabe ⚡

#iPhone17Pro #AppleIntelligence #ChipA19Pro #iOS26 #CâmeraProFusion #MegaEletronicos #Paraguai #AppleLatam #TecnologiaPremium",0,"09/26/2025 12:01",https://www.instagram.com/p/DPE5HzhjE-l/,"Carrossel do Instagram",,Total,42889,6924,107,15,2,6,4
18070935410468797,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","🔥 Não compre ar-condicionado antes de ver esse vídeo!
O LANÇAMENTO Audisat AC-12PY chegou para salvar você do calor (e do frio também)! ❄️🔥

✅ 12.000 BTUs para resfriar
✅ 12.500 BTUs para aquecer
✅ Função Turbo, Sleep e Timer
✅ Super silencioso: só 42dB
✅ Garantia de 1 ano + proteção IPX4
💰 Tudo isso por R$1.362 🤯 (valores sujeitos a alterações)

Comente “Audisat” aqui embaixo 👇 que enviamos o link para você.

#ArCondicionado #Audisat #casaconfortável #Climatização #ofertasespeciais #promocaododia #tecnología #MegaEletrônicos #economiainteligente",37,"09/27/2025 06:03",https://www.instagram.com/reel/DPG00OMEbWQ/,"Reel do Instagram",,Total,273829,166198,1767,579,3541,585,93
17856507033530966,17841406652483983,guiadafronteira,"Manu do Guia da Fronteira em Foz do Iguaçu 🇧🇷🇦🇷🇵🇾","O novo iPhone 17 já está na @megaeletronicosoficialpy disponível em todas as versões e cores. 😱

📱Linha completa do iPhone: 17, 17 Pro, 17 Pro Max e o exclusivo Air. Mais fino, mais potente, com câmera e bateria de outro nível.

📍Onde encontrar? Na Mega Eletrônicos, localizada da rua Monseñor Rodriguez em Ciudad Del Este no Paraguay (do lado esquerdo).

⏰ Qual horário de atendimento? Segunda das 7h às 16h30 | terça à sexta das 6h30 às 16h30 | sábado das 6h às 15h | fechado aos domingos.

👋🏻 Se gostou já salva essa dica e marca aqui o @ que quer comprar o novo iPhone!",42,"09/27/2025 13:38",https://www.instagram.com/reel/DPHosUSDjHl/,"Reel do Instagram",,Total,45270,,577,190,,25,0
18066597311034237,17841411892401375,fozcidadelinda,"Foz do Iguaçu Cidade Linda","VALOR DO IPHONE 17 NO PY 🇵🇾

Já começou a venda oficial dos Iphones 17 na Mega Eletronicos e nós viemos te contar em primeira mão os valores de todos os modelos que você quer saber.

Na Mega você encontra desde o Iphone 17 Air até o Iphone 17 Pro Max, tudo original e com valor muito mais barato que no Brasil. 

Se já quer comprar o seu, corre para a loja 👀",34,"09/28/2025 12:37",https://www.instagram.com/reel/DPKGtN_gZTm/,"Reel do Instagram",,Total,81555,,1114,385,,40,0
18069411533213464,17841411892401375,fozcidadelinda,"Foz do Iguaçu Cidade Linda","E aí o que acharam?

Para ambientes bem iluminados o iPhone 17 tem uma resolução muito boa e entrega um resultado muito legal quando utiliza o zoom 8x.

Esse aí foi feito com os IPhones da @megaeletronicosoficialpy em CDE no Paraguay.

Comentem o que acharam ?",0,"09/29/2025 16:46",https://www.instagram.com/p/DPNIEruEd7y/,"Carrossel do Instagram",,Total,222074,,2167,631,,43,0
18411078217115306,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Já imaginou ter a potência de um computador de mesa na palma da sua mão? 🤯
A Mini PC chegou para transformar sua rotina:

⚡ 512 GB de armazenamento
⚡ 16 GB de RAM
⚡ Windows 11 super fluido
⚡ CPU até 3.6 GHz com gráficos Intel UHD
⚡ Saída em 4K Ultra HD

Compacta, poderosa e feita para elevar sua produtividade e entretenimento a outro nível 🚀✨

#minipc #tecnologia #megaeletronicos #computador #inovação #paraguai #eletronicos #pcgamer #windows11 #4kultrahd #informática #produtividade #gadgets",28,"09/30/2025 08:05",https://www.instagram.com/reel/DPOxPdogDBg/,"Reel do Instagram",,Total,9286,7679,124,28,4,29,20
17962695494977478,17841462447596208,explorandoafronteira,"Explorando a Fronteira por Nicolly Tavassi","Caixas de som da Aiwa no Paraguai!

A Aiwa é uma marca muito boa, principalmente pra quem procura custo benefício.

Você encontra ela aqui no Paraguai, na loja da Mega Eletrônicos!

Me conta se já t stou alguma dessas caixas de som!

#paraguai #comprasparaguai #caixadesom #aiwa #eletronicos",60,"09/30/2025 09:00",https://www.instagram.com/reel/DPO3IiuDp04/,"Reel do Instagram",,Total,26425,,367,150,,24,0
17859398124448206,17841411892401375,fozcidadelinda,"Foz do Iguaçu Cidade Linda","ÓCULOS COM SOM EMBUTIDO? 👀🇵🇾

Esse aqui é o Xiaomi Smart Audio Glasses, um óculos inteligente que toca música e atende chamadas - tudo isso sem precisar tirar o óculos do rosto. 

Com estrutura de áudio embutida diretamente nas hastes, os alto-falantes são direcionais para o seu ouvido e o microfone possui cancelamento de ruído, garantindo privacidade total. As lentes são trocáveis e o óculos ainda é resistente a água e ao suor. 

Um produto inovador que pode otimizar muito sua rotina no dia a dia. Se você já quer comprar o seu, corre para a Mega Eletrônicos ✨💢",55,"10/01/2025 07:46",https://www.instagram.com/reel/DPRTf1sDekG/,"Reel do Instagram",,Total,47207,,746,780,,26,0
